ticket_id,created_at,department,title,description,resolution_notes,priority,status,pii_masked,ground_truth_category
SYN-0149,2026-03-25,HR,VPN authentication fails after Windows update,VPN authentication fails after Windows update on Windows 11. I already restarted the device once.,,High,Open,true,VPN
SYN-0150,2026-05-09,HR,Computer repeatedly restarts after Windows update,Computer repeatedly restarts after Windows update on macOS. Please help because I need this for work.,Installed pending driver updates and repaired Windows update components.,Medium,Resolved,true,Windows / Updates
SYN-0151,2026-04-30,HR,Windows update failed and rolled back,Windows update failed and rolled back on Windows 11. No recent hardware changes were made.,Installed pending driver updates and repaired Windows update components.,High,Resolved,true,Windows / Updates
SYN-0152,2026-04-04,Operations,Setup wizard reports missing dependency,Setup wizard reports missing dependency on Windows 10. It happens on my work laptop.,Used the approved installer with administrator permission.,High,Resolved,true,Software Installation
SYN-0153,2026-04-05,Sales,Company VPN connects then immediately disconnects,Company VPN connects then immediately disconnects on Ubuntu. No recent hardware changes were made.,Updated the VPN client and re-created the connection profile.,Medium,Resolved,true,VPN
SYN-0154,2026-05-01,Sales,Remote access VPN drops after login,Remote access VPN drops after login on macOS. The issue happens repeatedly.,Updated the VPN client and re-created the connection profile.,Low,Resolved,true,VPN
SYN-0155,2026-08-21,Academic,Company VPN connects then immediately disconnects,Company VPN connects then immediately disconnects on Ubuntu. This started this morning.,Updated the VPN client and re-created the connection profile.,Low,Resolved,true,VPN
SYN-0156,2026-03-19,Finance,Laptop connected to Wi-Fi but no internet access,Laptop connected to Wi-Fi but no internet access on Windows 10. I already restarted the device once.,,High,Open,true,Wi-Fi / DNS
SYN-0157,2026-04-27,Academic,Authenticator code is rejected,Authenticator code is rejected on Ubuntu. The issue happens repeatedly.,Re-registered MFA and cleared cached Outlook credentials.,High,Resolved,true,Outlook / MFA
SYN-0158,2026-06-17,Operations,Authenticator code is rejected,Authenticator code is rejected on Ubuntu. It happens on my work laptop.,Re-registered MFA and cleared cached Outlook credentials.,Low,Resolved,true,Outlook / MFA
SYN-0159,2026-04-24,HR,Laptop is slow after Windows 11 update,Laptop is slow after Windows 11 update on macOS. This started this morning.,,High,Open,true,Windows / Updates
SYN-0160,2026-08-19,Finance,Computer repeatedly restarts after Windows update,Computer repeatedly restarts after Windows update on Ubuntu. It happens on my work laptop.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0161,2026-01-24,Academic,Company VPN connects then immediately disconnects,Company VPN connects then immediately disconnects on Windows 10. This started this morning.,Updated the VPN client and re-created the connection profile.,Medium,Resolved,true,VPN
SYN-0162,2026-07-21,Finance,Cannot sign in after password reset,Cannot sign in after password reset on Windows 11. The issue happens repeatedly.,Unlocked the account and forced a secure password reset.,Low,Resolved,true,Accounts / Passwords
SYN-0163,2026-07-18,Sales,Password expired and user cannot log in,Password expired and user cannot log in on Windows 10. It happens on my work laptop.,Unlocked the account and forced a secure password reset.,Low,Resolved,true,Accounts / Passwords
SYN-0164,2026-03-06,Finance,Outlook profile fails to synchronize mail,Outlook profile fails to synchronize mail on Windows 10. I already restarted the device once.,Re-registered MFA and cleared cached Outlook credentials.,Low,Resolved,true,Outlook / MFA
SYN-0165,2026-05-31,Finance,Laptop is slow after Windows 11 update,Laptop is slow after Windows 11 update on Windows 11. It happens on my work laptop.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0166,2026-05-15,Academic,Authenticator code is rejected,Authenticator code is rejected on Windows 10. Please help because I need this for work.,Re-registered MFA and cleared cached Outlook credentials.,Medium,Resolved,true,Outlook / MFA
SYN-0167,2026-06-01,Operations,Computer repeatedly restarts after Windows update,Computer repeatedly restarts after Windows update on Windows 11. The issue happens repeatedly.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0168,2026-06-14,Finance,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on Ubuntu. Please help because I need this for work.,Cleared the print queue and reinstalled the approved printer driver.,Medium,Resolved,true,Printers
SYN-0169,2026-07-02,Finance,Company VPN connects then immediately disconnects,Company VPN connects then immediately disconnects on Windows 10. It happens on my work laptop.,,High,Open,true,VPN
SYN-0170,2026-02-02,Sales,Outlook keeps asking for password,Outlook keeps asking for password on macOS. Please help because I need this for work.,Re-registered MFA and cleared cached Outlook credentials.,High,Resolved,true,Outlook / MFA
SYN-0171,2026-05-10,Finance,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on Windows 10. No recent hardware changes were made.,,High,Open,true,Printers
SYN-0172,2026-04-26,Operations,Account says credentials are invalid,Account says credentials are invalid on macOS. Please help because I need this for work.,Unlocked the account and forced a secure password reset.,Medium,Resolved,true,Accounts / Passwords
SYN-0173,2026-03-22,IT,Application installation fails with permission error,Application installation fails with permission error on macOS. It happens on my work laptop.,,Low,Open,true,Software Installation
SYN-0174,2026-01-24,Finance,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on Ubuntu. This started this morning.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0175,2026-05-23,Sales,Laptop is slow after Windows 11 update,Laptop is slow after Windows 11 update on macOS. No recent hardware changes were made.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0176,2026-08-12,Academic,Installer stops before completion,Installer stops before completion on Windows 10. It happens on my work laptop.,,High,Open,true,Software Installation
SYN-0177,2026-01-27,HR,Windows cannot find network printer,Windows cannot find network printer on Ubuntu. I already restarted the device once.,Cleared the print queue and reinstalled the approved printer driver.,Low,Resolved,true,Printers
SYN-0178,2026-04-05,IT,Computer repeatedly restarts after Windows update,Computer repeatedly restarts after Windows update on Windows 11. Please help because I need this for work.,Installed pending driver updates and repaired Windows update components.,High,Resolved,true,Windows / Updates
SYN-0179,2026-08-26,Finance,Wi-Fi connected but browser says no internet,Wi-Fi connected but browser says no internet on Windows 11. It happens on my work laptop.,Restarted the network adapter and flushed the DNS cache.,High,Resolved,true,Wi-Fi / DNS
SYN-0180,2026-03-31,HR,Windows cannot find network printer,Windows cannot find network printer on Windows 11. The issue happens repeatedly.,Cleared the print queue and reinstalled the approved printer driver.,High,Resolved,true,Printers
SYN-0181,2026-02-06,Finance,Application installation fails with permission error,Application installation fails with permission error on Windows 11. Please help because I need this for work.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0182,2026-02-10,IT,Remote computer is unavailable through RDP,Remote computer is unavailable through RDP on macOS. The issue happens repeatedly.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0183,2026-02-09,Sales,VPN disconnects every few minutes,VPN disconnects every few minutes on Windows 10. No recent hardware changes were made.,Updated the VPN client and re-created the connection profile.,Low,Resolved,true,VPN
SYN-0184,2026-06-19,Operations,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on Ubuntu. Please help because I need this for work.,,Medium,Open,true,Printers
SYN-0185,2026-01-30,Operations,New employee account cannot access portal,New employee account cannot access portal on Windows 10. It happens on my work laptop.,Unlocked the account and forced a secure password reset.,High,Resolved,true,Accounts / Passwords
SYN-0186,2026-06-20,Finance,RDP connection times out from home network,RDP connection times out from home network on Windows 11. Please help because I need this for work.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0187,2026-02-22,HR,Laptop connected to Wi-Fi but no internet access,Laptop connected to Wi-Fi but no internet access on Windows 11. It happens on my work laptop.,Restarted the network adapter and flushed the DNS cache.,Medium,Resolved,true,Wi-Fi / DNS
SYN-0188,2026-01-02,Academic,Windows update failed and rolled back,Windows update failed and rolled back on Ubuntu. I already restarted the device once.,,Low,Open,true,Windows / Updates
SYN-0189,2026-06-30,Sales,Setup wizard reports missing dependency,Setup wizard reports missing dependency on macOS. This started this morning.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0190,2026-01-05,Finance,DNS error while connected to office Wi-Fi,DNS error while connected to office Wi-Fi on macOS. The issue happens repeatedly.,,Medium,Open,true,Wi-Fi / DNS
SYN-0191,2026-03-16,Operations,Approved software cannot be installed on laptop,Approved software cannot be installed on laptop on Windows 10. It happens on my work laptop.,Used the approved installer with administrator permission.,Low,Resolved,true,Software Installation
SYN-0192,2026-01-23,Finance,Remote computer is unavailable through RDP,Remote computer is unavailable through RDP on Windows 11. Please help because I need this for work.,,High,Open,true,Remote Desktop
SYN-0193,2026-01-21,IT,Setup wizard reports missing dependency,Setup wizard reports missing dependency on macOS. I already restarted the device once.,,Medium,Open,true,Software Installation
SYN-0194,2026-05-11,Sales,Outlook keeps asking for password,Outlook keeps asking for password on Windows 11. It happens on my work laptop.,Re-registered MFA and cleared cached Outlook credentials.,Medium,Resolved,true,Outlook / MFA
SYN-0195,2026-01-27,IT,MFA approval never arrives on phone,MFA approval never arrives on phone on Windows 11. I already restarted the device once.,Re-registered MFA and cleared cached Outlook credentials.,High,Resolved,true,Outlook / MFA
SYN-0196,2026-02-15,Operations,Outlook keeps asking for password,Outlook keeps asking for password on Ubuntu. No recent hardware changes were made.,,High,Open,true,Outlook / MFA
SYN-0197,2026-02-08,Finance,Blue screen appears after installing an update,Blue screen appears after installing an update on Ubuntu. Please help because I need this for work.,,High,Open,true,Windows / Updates
SYN-0198,2026-06-01,IT,Windows cannot find network printer,Windows cannot find network printer on Windows 10. It happens on my work laptop.,Cleared the print queue and reinstalled the approved printer driver.,Medium,Resolved,true,Printers
SYN-0199,2026-01-15,IT,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on Windows 10. No recent hardware changes were made.,Enabled the approved RDP rule and verified the device was reachable.,Low,Resolved,true,Remote Desktop
SYN-0200,2026-05-29,Operations,Approved software cannot be installed on laptop,Approved software cannot be installed on laptop on Windows 11. It happens on my work laptop.,Used the approved installer with administrator permission.,High,Resolved,true,Software Installation
SYN-0201,2026-02-08,Operations,RDP connection times out from home network,RDP connection times out from home network on Windows 10. It happens on my work laptop.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0202,2026-06-15,Finance,VPN tunnel is unstable from home network,VPN tunnel is unstable from home network on Windows 11. No recent hardware changes were made.,Updated the VPN client and re-created the connection profile.,Medium,Resolved,true,VPN
SYN-0203,2026-05-14,IT,RDP connection times out from home network,RDP connection times out from home network on macOS. It happens on my work laptop.,Enabled the approved RDP rule and verified the device was reachable.,Medium,Resolved,true,Remote Desktop
SYN-0204,2026-06-23,Academic,Installer stops before completion,Installer stops before completion on macOS. This started this morning.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0205,2026-06-23,IT,VPN tunnel is unstable from home network,VPN tunnel is unstable from home network on macOS. No recent hardware changes were made.,,High,Open,true,VPN
SYN-0206,2026-01-21,IT,Outlook cannot send email after password change,Outlook cannot send email after password change on macOS. No recent hardware changes were made.,Re-registered MFA and cleared cached Outlook credentials.,High,Resolved,true,Outlook / MFA
SYN-0207,2026-06-02,IT,Software setup cannot continue because admin rights are required,Software setup cannot continue because admin rights are required on Ubuntu. No recent hardware changes were made.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0208,2026-01-24,Sales,Outlook profile fails to synchronize mail,Outlook profile fails to synchronize mail on macOS. This started this morning.,,Medium,Open,true,Outlook / MFA
SYN-0209,2026-02-24,Operations,Office printer prints blank pages,Office printer prints blank pages on Windows 11. I already restarted the device once.,Cleared the print queue and reinstalled the approved printer driver.,Low,Resolved,true,Printers
SYN-0210,2026-03-17,Sales,Outlook keeps asking for password,Outlook keeps asking for password on Windows 10. No recent hardware changes were made.,Re-registered MFA and cleared cached Outlook credentials.,Medium,Resolved,true,Outlook / MFA
SYN-0211,2026-04-07,HR,Outlook profile fails to synchronize mail,Outlook profile fails to synchronize mail on Windows 11. No recent hardware changes were made.,Re-registered MFA and cleared cached Outlook credentials.,High,Resolved,true,Outlook / MFA
SYN-0212,2026-01-12,IT,Authenticator code is rejected,Authenticator code is rejected on Windows 11. Please help because I need this for work.,,High,Open,true,Outlook / MFA
SYN-0213,2026-03-01,IT,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on Ubuntu. I already restarted the device once.,Cleared the print queue and reinstalled the approved printer driver.,Medium,Resolved,true,Printers
SYN-0214,2026-07-16,Operations,Remote Desktop shows credential error,Remote Desktop shows credential error on Ubuntu. I already restarted the device once.,Enabled the approved RDP rule and verified the device was reachable.,Low,Resolved,true,Remote Desktop
SYN-0215,2026-01-14,IT,Outlook cannot send email after password change,Outlook cannot send email after password change on Windows 10. No recent hardware changes were made.,,High,Open,true,Outlook / MFA
SYN-0216,2026-01-22,IT,VPN authentication fails after Windows update,VPN authentication fails after Windows update on Ubuntu. The issue happens repeatedly.,Updated the VPN client and re-created the connection profile.,Low,Resolved,true,VPN
SYN-0217,2026-08-22,Operations,Application installation fails with permission error,Application installation fails with permission error on macOS. This started this morning.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0218,2026-05-09,HR,DNS error while connected to office Wi-Fi,DNS error while connected to office Wi-Fi on Ubuntu. This started this morning.,Restarted the network adapter and flushed the DNS cache.,Medium,Resolved,true,Wi-Fi / DNS
SYN-0219,2026-03-23,Academic,User account is locked after failed login attempts,User account is locked after failed login attempts on macOS. I already restarted the device once.,Unlocked the account and forced a secure password reset.,Low,Resolved,true,Accounts / Passwords
SYN-0220,2026-08-23,Academic,Internet unavailable although Wi-Fi is connected,Internet unavailable although Wi-Fi is connected on Windows 11. No recent hardware changes were made.,,Medium,Open,true,Wi-Fi / DNS
SYN-0221,2026-01-02,Finance,RDP connection times out from home network,RDP connection times out from home network on macOS. I already restarted the device once.,Enabled the approved RDP rule and verified the device was reachable.,Low,Resolved,true,Remote Desktop
SYN-0222,2026-07-18,HR,Application installation fails with permission error,Application installation fails with permission error on macOS. This started this morning.,Used the approved installer with administrator permission.,Low,Resolved,true,Software Installation
SYN-0223,2026-06-13,Finance,Account says credentials are invalid,Account says credentials are invalid on Windows 10. Please help because I need this for work.,,High,Open,true,Accounts / Passwords
SYN-0224,2026-05-28,Academic,Wi-Fi connected but browser says no internet,Wi-Fi connected but browser says no internet on Windows 11. It happens on my work laptop.,Restarted the network adapter and flushed the DNS cache.,Medium,Resolved,true,Wi-Fi / DNS
SYN-0225,2026-04-01,Sales,Wi-Fi connected but browser says no internet,Wi-Fi connected but browser says no internet on Ubuntu. I already restarted the device once.,Restarted the network adapter and flushed the DNS cache.,High,Resolved,true,Wi-Fi / DNS
SYN-0226,2026-04-03,Sales,VPN tunnel is unstable from home network,VPN tunnel is unstable from home network on Windows 10. Please help because I need this for work.,Updated the VPN client and re-created the connection profile.,Medium,Resolved,true,VPN
SYN-0227,2026-04-06,Academic,DNS error while connected to office Wi-Fi,DNS error while connected to office Wi-Fi on Windows 10. It happens on my work laptop.,Restarted the network adapter and flushed the DNS cache.,Low,Resolved,true,Wi-Fi / DNS
SYN-0228,2026-07-07,Sales,Laptop is slow after Windows 11 update,Laptop is slow after Windows 11 update on macOS. I already restarted the device once.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0229,2026-03-28,Academic,Computer repeatedly restarts after Windows update,Computer repeatedly restarts after Windows update on Ubuntu. No recent hardware changes were made.,Installed pending driver updates and repaired Windows update components.,Medium,Resolved,true,Windows / Updates
SYN-0230,2026-01-17,Finance,MFA approval never arrives on phone,MFA approval never arrives on phone on macOS. I already restarted the device once.,,Low,Open,true,Outlook / MFA
SYN-0231,2026-03-22,Sales,User account is locked after failed login attempts,User account is locked after failed login attempts on Ubuntu. The issue happens repeatedly.,Unlocked the account and forced a secure password reset.,Medium,Resolved,true,Accounts / Passwords
SYN-0232,2026-07-12,IT,Printer is online but jobs stay in queue,Printer is online but jobs stay in queue on macOS. This started this morning.,Cleared the print queue and reinstalled the approved printer driver.,High,Resolved,true,Printers
SYN-0233,2026-02-01,Operations,Blue screen appears after installing an update,Blue screen appears after installing an update on Ubuntu. No recent hardware changes were made.,Installed pending driver updates and repaired Windows update components.,Medium,Resolved,true,Windows / Updates
SYN-0234,2026-02-17,Academic,Installer stops before completion,Installer stops before completion on Ubuntu. It happens on my work laptop.,,High,Open,true,Software Installation
SYN-0235,2026-07-06,Finance,Printer is online but jobs stay in queue,Printer is online but jobs stay in queue on Ubuntu. The issue happens repeatedly.,,Low,Open,true,Printers
SYN-0236,2026-01-27,IT,Windows cannot find network printer,Windows cannot find network printer on macOS. It happens on my work laptop.,Cleared the print queue and reinstalled the approved printer driver.,Medium,Resolved,true,Printers
SYN-0237,2026-06-26,IT,Software setup cannot continue because admin rights are required,Software setup cannot continue because admin rights are required on Ubuntu. This started this morning.,,High,Open,true,Software Installation
SYN-0238,2026-04-22,Academic,Computer repeatedly restarts after Windows update,Computer repeatedly restarts after Windows update on Windows 10. This started this morning.,Installed pending driver updates and repaired Windows update components.,High,Resolved,true,Windows / Updates
SYN-0239,2026-05-12,Finance,Installer stops before completion,Installer stops before completion on Windows 11. The issue happens repeatedly.,Used the approved installer with administrator permission.,High,Resolved,true,Software Installation
SYN-0240,2026-02-02,HR,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on macOS. It happens on my work laptop.,Enabled the approved RDP rule and verified the device was reachable.,Medium,Resolved,true,Remote Desktop
SYN-0241,2026-02-09,IT,Wi-Fi connected but browser says no internet,Wi-Fi connected but browser says no internet on macOS. Please help because I need this for work.,,Low,Open,true,Wi-Fi / DNS
SYN-0242,2026-04-04,IT,Outlook profile fails to synchronize mail,Outlook profile fails to synchronize mail on macOS. I already restarted the device once.,,Low,Open,true,Outlook / MFA
SYN-0243,2026-05-08,Sales,Wireless icon shows connected but websites do not load,Wireless icon shows connected but websites do not load on Windows 10. It happens on my work laptop.,,Medium,Open,true,Wi-Fi / DNS
SYN-0244,2026-06-06,Academic,RDP session disconnects after login,RDP session disconnects after login on Ubuntu. I already restarted the device once.,Enabled the approved RDP rule and verified the device was reachable.,Low,Resolved,true,Remote Desktop
SYN-0245,2026-04-26,Academic,Outlook keeps asking for password,Outlook keeps asking for password on Ubuntu. This started this morning.,Re-registered MFA and cleared cached Outlook credentials.,High,Resolved,true,Outlook / MFA
SYN-0246,2026-07-01,Finance,Laptop suddenly shows blue screen error 0x00000124,Laptop suddenly shows blue screen error 0x00000124 on macOS. It happens on my work laptop.,,Low,Open,true,Windows / Updates
SYN-0247,2026-05-11,Finance,Outlook cannot send email after password change,Outlook cannot send email after password change on Windows 11. I already restarted the device once.,Re-registered MFA and cleared cached Outlook credentials.,Low,Resolved,true,Outlook / MFA
SYN-0248,2026-04-03,Operations,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on Windows 11. The issue happens repeatedly.,Enabled the approved RDP rule and verified the device was reachable.,Low,Resolved,true,Remote Desktop
SYN-0249,2026-04-12,Sales,VPN authentication fails after Windows update,VPN authentication fails after Windows update on Ubuntu. Please help because I need this for work.,,High,Open,true,VPN
SYN-0250,2026-03-23,Operations,Remote access VPN drops after login,Remote access VPN drops after login on Ubuntu. No recent hardware changes were made.,Updated the VPN client and re-created the connection profile.,High,Resolved,true,VPN
SYN-0251,2026-08-13,HR,Laptop is slow after Windows 11 update,Laptop is slow after Windows 11 update on Ubuntu. The issue happens repeatedly.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0252,2026-02-09,HR,VPN tunnel is unstable from home network,VPN tunnel is unstable from home network on Windows 11. It happens on my work laptop.,Updated the VPN client and re-created the connection profile.,High,Resolved,true,VPN
SYN-0253,2026-08-29,Finance,Password expired and user cannot log in,Password expired and user cannot log in on macOS. I already restarted the device once.,Unlocked the account and forced a secure password reset.,High,Resolved,true,Accounts / Passwords
SYN-0254,2026-06-10,Sales,Office printer prints blank pages,Office printer prints blank pages on Windows 10. The issue happens repeatedly.,Cleared the print queue and reinstalled the approved printer driver.,High,Resolved,true,Printers
SYN-0255,2026-05-29,HR,Outlook profile fails to synchronize mail,Outlook profile fails to synchronize mail on macOS. The issue happens repeatedly.,Re-registered MFA and cleared cached Outlook credentials.,Low,Resolved,true,Outlook / MFA
SYN-0256,2026-01-12,Academic,Laptop connected to Wi-Fi but no internet access,Laptop connected to Wi-Fi but no internet access on Windows 11. The issue happens repeatedly.,Restarted the network adapter and flushed the DNS cache.,Medium,Resolved,true,Wi-Fi / DNS
SYN-0257,2026-08-16,Academic,DNS error while connected to office Wi-Fi,DNS error while connected to office Wi-Fi on macOS. Please help because I need this for work.,Restarted the network adapter and flushed the DNS cache.,Low,Resolved,true,Wi-Fi / DNS
SYN-0258,2026-04-27,Academic,Installer stops before completion,Installer stops before completion on Windows 10. I already restarted the device once.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0259,2026-04-29,IT,Approved software cannot be installed on laptop,Approved software cannot be installed on laptop on Windows 11. It happens on my work laptop.,Used the approved installer with administrator permission.,High,Resolved,true,Software Installation
SYN-0260,2026-04-13,IT,Blue screen appears after installing an update,Blue screen appears after installing an update on Windows 10. It happens on my work laptop.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0261,2026-03-10,HR,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on Windows 11. This started this morning.,,Low,Open,true,Remote Desktop
SYN-0262,2026-08-10,HR,Print queue is stuck and cannot be cleared,Print queue is stuck and cannot be cleared on Windows 11. It happens on my work laptop.,,High,Open,true,Printers
SYN-0263,2026-07-15,Operations,Laptop is slow after Windows 11 update,Laptop is slow after Windows 11 update on Ubuntu. Please help because I need this for work.,Installed pending driver updates and repaired Windows update components.,Medium,Resolved,true,Windows / Updates
SYN-0264,2026-01-24,Sales,Remote Desktop cannot connect to office PC,Remote Desktop cannot connect to office PC on Ubuntu. I already restarted the device once.,,Low,Open,true,Remote Desktop
SYN-0265,2026-01-13,Operations,Windows update failed and rolled back,Windows update failed and rolled back on Ubuntu. It happens on my work laptop.,Installed pending driver updates and repaired Windows update components.,High,Resolved,true,Windows / Updates
SYN-0266,2026-04-21,IT,Laptop connected to Wi-Fi but no internet access,Laptop connected to Wi-Fi but no internet access on macOS. Please help because I need this for work.,Restarted the network adapter and flushed the DNS cache.,Medium,Resolved,true,Wi-Fi / DNS
SYN-0267,2026-01-14,IT,DNS error while connected to office Wi-Fi,DNS error while connected to office Wi-Fi on macOS. This started this morning.,Restarted the network adapter and flushed the DNS cache.,Medium,Resolved,true,Wi-Fi / DNS
SYN-0268,2026-03-13,HR,RDP connection times out from home network,RDP connection times out from home network on Windows 10. Please help because I need this for work.,Enabled the approved RDP rule and verified the device was reachable.,Medium,Resolved,true,Remote Desktop
SYN-0269,2026-08-29,HR,Computer repeatedly restarts after Windows update,Computer repeatedly restarts after Windows update on Windows 11. The issue happens repeatedly.,Installed pending driver updates and repaired Windows update components.,High,Resolved,true,Windows / Updates
SYN-0270,2026-01-11,Finance,Setup wizard reports missing dependency,Setup wizard reports missing dependency on Windows 11. No recent hardware changes were made.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0271,2026-04-27,Sales,RDP connection times out from home network,RDP connection times out from home network on Windows 11. It happens on my work laptop.,Enabled the approved RDP rule and verified the device was reachable.,High,Resolved,true,Remote Desktop
SYN-0272,2026-04-11,Sales,Laptop is slow after Windows 11 update,Laptop is slow after Windows 11 update on macOS. The issue happens repeatedly.,Installed pending driver updates and repaired Windows update components.,High,Resolved,true,Windows / Updates
SYN-0273,2026-03-18,Finance,RDP connection times out from home network,RDP connection times out from home network on macOS. It happens on my work laptop.,,High,Open,true,Remote Desktop
SYN-0274,2026-05-30,Academic,Company VPN connects then immediately disconnects,Company VPN connects then immediately disconnects on Windows 10. The issue happens repeatedly.,Updated the VPN client and re-created the connection profile.,Medium,Resolved,true,VPN
SYN-0275,2026-05-28,Academic,Printer shows offline although it is powered on,Printer shows offline although it is powered on on Windows 10. The issue happens repeatedly.,Cleared the print queue and reinstalled the approved printer driver.,Medium,Resolved,true,Printers
SYN-0276,2026-06-11,HR,Outlook profile fails to synchronize mail,Outlook profile fails to synchronize mail on Windows 11. This started this morning.,,High,Open,true,Outlook / MFA
SYN-0277,2026-01-05,IT,Remote access VPN drops after login,Remote access VPN drops after login on Ubuntu. I already restarted the device once.,,Medium,Open,true,VPN
SYN-0278,2026-05-09,Academic,Account says credentials are invalid,Account says credentials are invalid on Windows 10. No recent hardware changes were made.,,Low,Open,true,Accounts / Passwords
SYN-0279,2026-03-25,Sales,New employee account cannot access portal,New employee account cannot access portal on Ubuntu. It happens on my work laptop.,,Low,Open,true,Accounts / Passwords
SYN-0280,2026-03-29,Academic,RDP connection times out from home network,RDP connection times out from home network on macOS. The issue happens repeatedly.,Enabled the approved RDP rule and verified the device was reachable.,Medium,Resolved,true,Remote Desktop
SYN-0281,2026-03-13,HR,Cannot sign in after password reset,Cannot sign in after password reset on macOS. It happens on my work laptop.,Unlocked the account and forced a secure password reset.,High,Resolved,true,Accounts / Passwords
SYN-0282,2026-03-23,IT,Account says credentials are invalid,Account says credentials are invalid on macOS. It happens on my work laptop.,,Low,Open,true,Accounts / Passwords
SYN-0283,2026-07-29,HR,Approved software cannot be installed on laptop,Approved software cannot be installed on laptop on macOS. This started this morning.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0284,2026-08-25,Academic,VPN authentication fails after Windows update,VPN authentication fails after Windows update on macOS. No recent hardware changes were made.,,Medium,Open,true,VPN
SYN-0285,2026-07-31,Sales,Cannot sign in after password reset,Cannot sign in after password reset on macOS. I already restarted the device once.,Unlocked the account and forced a secure password reset.,Low,Resolved,true,Accounts / Passwords
SYN-0286,2026-01-13,Academic,Cannot sign in after password reset,Cannot sign in after password reset on Windows 11. This started this morning.,Unlocked the account and forced a secure password reset.,Low,Resolved,true,Accounts / Passwords
SYN-0287,2026-07-03,Finance,Installer stops before completion,Installer stops before completion on Windows 11. This started this morning.,,High,Open,true,Software Installation
SYN-0288,2026-06-17,Operations,Authenticator code is rejected,Authenticator code is rejected on Windows 11. It happens on my work laptop.,,Medium,Open,true,Outlook / MFA
SYN-0289,2026-08-21,Academic,Printer is online but jobs stay in queue,Printer is online but jobs stay in queue on Windows 11. The issue happens repeatedly.,Cleared the print queue and reinstalled the approved printer driver.,High,Resolved,true,Printers
SYN-0290,2026-04-17,Finance,Wireless icon shows connected but websites do not load,Wireless icon shows connected but websites do not load on Ubuntu. Please help because I need this for work.,Restarted the network adapter and flushed the DNS cache.,Low,Resolved,true,Wi-Fi / DNS
SYN-0291,2026-01-03,Sales,Printer is online but jobs stay in queue,Printer is online but jobs stay in queue on Windows 10. It happens on my work laptop.,Cleared the print queue and reinstalled the approved printer driver.,Medium,Resolved,true,Printers
SYN-0292,2026-05-15,HR,RDP connection times out from home network,RDP connection times out from home network on Ubuntu. It happens on my work laptop.,,Low,Open,true,Remote Desktop
SYN-0293,2026-02-11,Academic,VPN authentication fails after Windows update,VPN authentication fails after Windows update on macOS. No recent hardware changes were made.,,Low,Open,true,VPN
SYN-0294,2026-07-22,Sales,Internet unavailable although Wi-Fi is connected,Internet unavailable although Wi-Fi is connected on Windows 11. I already restarted the device once.,Restarted the network adapter and flushed the DNS cache.,High,Resolved,true,Wi-Fi / DNS
SYN-0295,2026-05-12,Finance,Approved software cannot be installed on laptop,Approved software cannot be installed on laptop on Ubuntu. No recent hardware changes were made.,Used the approved installer with administrator permission.,Low,Resolved,true,Software Installation
SYN-0296,2026-05-03,HR,MFA approval never arrives on phone,MFA approval never arrives on phone on Windows 10. It happens on my work laptop.,Re-registered MFA and cleared cached Outlook credentials.,Medium,Resolved,true,Outlook / MFA
